"","X","Y","OBJECTID_1","OBJECTID","BLDG_ID","BLDG_NAME","ADDRESS","CITY","ZIPCODE","CSP_SCH_ID","SCH_ID","SCH_NAME","SCH_LABEL","SCH_TYPE","SHARED","COMPLEX","POINT_X","POINT_Y","school_name_2","ORG_CODE","DISTRICT_NAME","SCHOOL","COUNTY","School_Total","PK","K","Gr.1","Gr.2","Gr.3","Gr.4","Gr.5","Gr.6","Gr.7","Gr.8","Gr.9","Gr.10","Gr.11","Gr.12","SPED_Beyond_Grade_12"
"65",-71.0816252357091,42.306818760665,112,118,150,"Burke High School Bldg","60 Washington Street","Dorchester",2121,1120,1120,"Burke High","Burke HS","HS"," "," ",769337.072736,2937107.129,"Jeremiah E Burke High","0035","Boston","00350525","Suffolk",403,0,0,0,0,0,0,0,0,0,0,83,93,107,120,0
"66",-71.1177406061388,42.2854086569104,65,70,91,"Philbrick Bldg","40 Philbrick Street","Roslindale",2131,4561,4561,"Philbrick Elementary","Philbrick","ES"," "," ",759602.913871,2929259.10274,"John D Philbrick","0035","Boston","00350172","Suffolk",160,10,19,21,23,20,47,20,0,0,0,0,0,0,0,0
"67",-71.1058393825734,42.3217853270857,78,84,110,"Kennedy, J  Bldg","7 Bolster Street","Jamaica Plain",2130,4270,4270,"Kennedy John F Elemen","JF Kennedy","ES"," "," ",762761.999986,2942530,"John F Kennedy","0035","Boston","00350166","Suffolk",371,26,58,56,60,60,68,43,0,0,0,0,0,0,0,0
"68",-71.043500582554,42.3180286655295,114,120,153,"Mccormack Bldg","315 Mt. Vernon Street","Dorchester",2125,2190,2190,"McCormack Middle","McCormack MS","MS"," "," ",779627.818818,2941245.07808,"John W McCormack","0035","Boston","00350179","Suffolk",365,0,0,0,0,0,0,0,121,120,124,0,0,0,0,0
"69",-71.0756266008366,42.3182026505098,43,46,57,"Winthrop Bldg","35 Brookford Street","Dorchester",2125,4052,4052,"Winthrop Elementary","Winthrop","ES"," "," ",770939.048026,2941263.61709,"John Winthrop","0035","Boston","00350180","Suffolk",308,35,53,45,55,39,43,38,0,0,0,0,0,0,0,0
"70",-71.0777405958249,42.3387586686704,20,20,27,"Hurley Bldg","70 Worcester Street","Boston",2118,4260,4260,"Hurley K-8","Hurley K-8","K-8"," "," ",770330.236569,2948751.74884,"Joseph J Hurley","0035","Boston","00350182","Suffolk",350,28,41,44,48,43,44,34,36,16,16,0,0,0,0,0
"71",-71.0803754192456,42.2924381049443,58,62,80,"Lee Bldg","155 Talbot Avenue","Dorchester",2124,4290,4290,"Lee K-8","Lee K-8","K-8"," "," ",769700.926306,2931868.26054,"Joseph Lee","0035","Boston","00350183","Suffolk",653,60,59,48,58,60,83,77,91,56,61,0,0,0,0,0
"72",-71.1314906110075,42.3055886604069,89,95,124,"Manning Bldg","130 Louders Lane","Jamaica Plain",2130,4311,4311,"Manning Elementary","Manning","ES"," "," ",755850.534732,2936596.64227,"Joseph P Manning","0035","Boston","00350184","Suffolk",147,10,22,23,24,23,25,20,0,0,0,0,0,0,0,0
"73",-71.0384112844121,42.3348707077956,26,27,37,"Tynan Bldg","650 E. Fourth Street","South Boston",2127,4590,4590,"Tynan Elementary","Tynan","ES"," "," ",780971.000003,2947390,"Joseph P Tynan","0035","Boston","00350181","Suffolk",229,29,51,34,31,23,32,29,0,0,0,0,0,0,0,0
"74",-71.0649205923326,42.3479786705408,16,16,22,"Boston HS Bldg","885 Washington Street","Boston",2111,4650,4650,"Quincy Lower (K-5)","Quincy Lower (K-5)","K-12"," "," ",773779.124764,2952129.10459,"Josiah Quincy","0035","Boston","00350286","Suffolk",803,75,113,116,122,125,120,132,0,0,0,0,0,0,0,0
"75",-71.1625701257407,42.2718858198013,94,100,130,"Kilmer Bldg","35 Baker Street","West Roxbury",2132,4031,4031,"Kilmer Lower (K1-3)","Kilmer Lower (K1-3)","K-8"," "," ",747492.000004,2924280.00002,"Joyce Kilmer","0035","Boston","00350190","Suffolk",439,37,40,59,40,47,51,63,60,14,28,0,0,0,0,0
"76",-71.1523676180015,42.2926606579234,92,98,128,"Russett Road Bldg","140 Russett Road","West Roxbury",2132,4033,4033,"Kilmer Upper (4-8)","Kilmer Upper (4-8)","K-8"," "," ",750222.431046,2931861.75711,"Joyce Kilmer","0035","Boston","00350190","Suffolk",439,37,40,59,40,47,51,63,60,14,28,0,0,0,0,0
"77",-71.0761965934802,42.3112996633731,44,47,58,"King Bldg","77 Lawrence Avenue","Dorchester",2121,4055,4055,"King K-8","King K-8","K-8"," "," ",770797.393082,2938747.29008,"King K-8","0035","Boston","00350376","Suffolk",489,56,63,62,55,39,58,42,47,41,26,0,0,0,0,0
"78",-71.07300862697,42.2866089264034,59,63,79,"Fifield Bldg","25 Dunbar Ave.","Dorchester",2124,4291,4291,"Lee Academy (K1-3)","Lee Academy (K1-3)","ES"," "," ",771704.710723,2929753.91644,"Lee Academy","0035","Boston","00350001","Suffolk",213,55,35,34,39,50,0,0,0,0,0,0,0,0,0,0
"79",-71.0754108249664,42.3090540229102,45,48,59,"Frederick Middle","270 Columbia Road","Dorchester",2121,2360,2360,"Frederick Pilot Middle","Frederick MS","MS"," "," ",771013.999994,2937930,"Lilla G. Frederick Middle School","0035","Boston","00350383","Suffolk",453,0,0,0,0,0,0,0,125,161,167,0,0,0,0,0
"80",-71.1583706186087,42.2829986557843,96,102,132,"Shaw, R.G.  Bldg","20 Mt. Vernon Street","West Roxbury",2132,4331,4331,"Lyndon K-8","Lyndon K-8","K-8"," "," ",748612.367525,2928334.20882,"Lyndon","0035","Boston","00350262","Suffolk",619,66,65,72,75,76,57,80,59,35,34,0,0,0,0,0
"81",-71.1615006236464,42.3510786684041,98,104,135,"Lyon, Mary  Bldg","50 Beechcroft Street","Brighton",2135,4171,4171,"Lyon K-8","Lyon K-8","K-12"," "," ",747666.93002,2953140.41771,"Lyon K-8","0035","Boston","00350004","Suffolk",132,0,13,12,14,15,15,15,16,18,14,0,0,0,0,0
"82",-71.1607606236953,42.352128667809,99,105,136,"Garfield Bldg","95 Beechcroft Street","Brighton",2135,1171,1171,"Lyon, Mary 9-12","Lyon 9-12","K-12"," "," ",747865.437188,2953523.85419,"Lyon Upper 9-12","0035","Boston","00350655","Suffolk",133,0,0,0,0,0,0,0,0,0,0,30,35,29,39,0
"83",-71.0902905997215,42.3317586666686,34,37,47,"Madison Park Bldg #1","75 Malcolm X Blvd","Roxbury",2120,1210,1210,"Madison Park High","Madison Park HS","HS"," "," ",766949.45791,2946184.2737,"Madison Park High","0035","Boston","00350537","Suffolk",887,0,0,0,0,0,0,0,0,0,0,241,272,195,150,29
"84",-71.0050450759994,42.3916161794587,117,123,2,"Bradley Bldg
","110 Beachview Road","East Boston",2128,4062,4062,"Bradley Elementary","Bradley","ES"," "," ",789872.444619,2968119.68196,"Manassah E Bradley","0035","Boston","00350215","Suffolk",276,28,42,42,42,43,46,33,0,0,0,0,0,0,0,0
"85",-71.1144821853263,42.3072082928641,122,129,123,"Agassiz Building","20 Child St","Jamaica Plain",2130,1053,1053,"Margarita Muniz Academy","Muniz Academy","HS","Shared"," ",760448.702561,2937207.19875,"Margarita Muniz Academy","0035","Boston","00350549","Suffolk",295,0,0,0,0,0,0,0,0,0,0,85,74,74,62,0
"86",-71.0403298245595,42.3782899932614,6,6,8,"Umana / Barnes Bldg","312 Border Street","East Boston",2128,4323,4323,"Umana Academy","Umana Academy","K-8"," "," ",780367.000002,2963209.99999,"Mario Umana Academy","0035","Boston","00350656","Suffolk",949,29,60,77,72,63,66,85,192,166,139,0,0,0,0,0
"87",-71.0610117719194,42.3083962119361,47,50,63,"Mather Bldg","1 Parish Street","Dorchester",2122,4350,4350,"Mather Elementary","Mather","ES"," "," ",774909.999997,2937710,"Mather","0035","Boston","00350227","Suffolk",574,62,82,77,84,91,94,84,0,0,0,0,0,0,0,0
"88",-71.1040894431683,42.2758153098276,62,66,86,"Mattahunt Bldg","100 Hebron Street","Mattapan",2126,4691,4691,"Mattahunt Elementary","Mattahunt (K1-2)","ES"," "," ",763312.999987,2925779.99998,"Mattahunt Elementary School","0035","Boston","00350016","Suffolk",373,87,124,102,60,0,0,0,0,0,0,0,0,0,0,0
"89",-71.0982906028072,42.3330186671967,80,86,113,"Tobin Bldg","40 Smith Street","Roxbury",2120,4570,4570,"Tobin K-8","Tobin K-8","K-8"," "," ",764784.166036,2946633.15152,"Maurice J Tobin","0035","Boston","00350229","Suffolk",437,13,42,58,58,51,63,40,50,36,26,0,0,0,0,0
"90",-71.0505405858941,42.3313186684526,24,24,35,"Perkins Bldg","50 Burke Street","South Boston",2127,4022,4022,"Perkins Elementary","Perkins","ES"," "," ",777698.3368,2946078.06208,"Michael J Perkins","0035","Boston","00350231","Suffolk",182,6,21,22,37,29,25,42,0,0,0,0,0,0,0,0
"91",-71.0904295960035,42.2767606569596,56,60,77,"Mildred Avenue Bldg","5 Mildred Avenue","Mattapan",2126,4671,4671,"Mildred Avenue K-8","Mildred Ave K-8","K-8"," "," ",767008.111766,2926141.9524,"Mildred Avenue K-8","0035","Boston","00350378","Suffolk",622,39,39,45,41,47,116,26,96,93,80,0,0,0,0,0
"92",-71.1138674415562,42.3070351533126,121,128,123,"Agassiz Building","20 Child St","Jamaica Plain",2130,4285,4285,"Mission Hill K-8","Mission Hill K-8","K-8","Shared"," ",760615.274078,2937144.85602,"Mission Hill School","0035","Boston","00350382","Suffolk",220,29,22,19,33,19,22,24,21,18,13,0,0,0,0,0
"93",-71.1410506129511,42.28122865607,91,97,127,"Mozart Bldg","236 Beech Street","Roslindale",2131,4082,4082,"Mozart Elementary","Mozart","ES"," "," ",753301.878441,2927708.44178,"Mozart","0035","Boston","00350237","Suffolk",171,25,24,22,25,27,25,23,0,0,0,0,0,0,0,0
"94",-71.0910405993954,42.3255486656123,37,40,50,"Hale Bldg","51 Cedar Street","Roxbury",2119,4113,4113,"Hale Elementary","Hale","ES"," "," ",766757.515094,2943920.26672,"Nathan Hale","0035","Boston","00350243","Suffolk",155,19,22,21,21,25,24,23,0,0,0,0,0,0,0,0
"95",-71.1179103506743,42.2624191009593,106,112,89,"Hyde Park EC","655 Metropolitan Ave","Hyde Park",2136,1285,1285,"New Mission High","New Mission HS","6/7-12","Shared"," ",759643.696681,2921172.19422,"New Mission High School","0035","Boston","00350542","Suffolk",462,0,0,0,0,0,0,0,0,44,74,102,84,72,85,1
"96",-71.0756002592987,42.2967884987679,60,64,82,"Holmes Bldg","40 School Street","Dorchester",2124,4084,4084,"Holmes Elementary","Holmes","ES"," "," ",770984.999994,2933459.99999,"O W Holmes","0035","Boston","00350138","Suffolk",335,25,54,47,49,53,60,47,0,0,0,0,0,0,0,0
"97",-71.0887925990821,42.3320386672274,35,38,48,"Madison Park Bldg #3 - O'Bryant","55 Malcolm X Blvd","Roxbury",2120,1030,1030,"O'Bryant Math & Sci.","O'Bryant School","6/7-12"," "," ",767354.011766,2946288.25978,"O'Bryant School Math/Science","0035","Boston","00350575","Suffolk",1535,0,0,0,0,0,0,0,0,160,174,330,358,259,254,0
"98",-71.0301987437598,42.3321207686156,27,28,38,"Perry Bldg","745 E. Seventh Street","South Boston",2127,4592,4592,"Perry K-8","Perry K-8","K-8"," "," ",783197.000005,2946400,"Oliver Hazard Perry","0035","Boston","00350255","Suffolk",245,22,26,27,26,31,30,24,25,22,12,0,0,0,0,0
"99",-71.0779090189748,42.3302752098986,29,30,42,"Orchard Gardens K-8","906 Albany Street","Roxbury",2119,4680,4680,"Orchard Gardens K-8","Orchard Gardens K-8","K-8"," "," ",770299.999993,2945660,"Orchard Gardens","0035","Boston","00350257","Suffolk",904,51,80,97,92,96,105,101,106,86,90,0,0,0,0,0
"100",-71.0304802923841,42.3785452983999,2,2,3,"Kennedy, P Bldg","343 Saratoga Street","East Boston",2128,4541,4541,"Kennedy Patrick Elem","PJ Kennedy","ES"," "," ",783027.745829,2963317.53394,"Patrick J Kennedy","0035","Boston","00350264","Suffolk",293,27,39,42,35,50,56,44,0,0,0,0,0,0,0,0
"101",-71.0427405832423,42.3176286662513,113,119,152,"Dever Bldg","325 Mt. Vernon Street","Dorchester",2125,4100,4100,"Dever Elementary","Dever","ES"," "," ",779834.141474,2941100.41289,"Paul A Dever","0035","Boston","00350268","Suffolk",410,34,59,63,68,61,69,56,0,0,0,0,0,0,0,0
"102",-71.0868403249277,42.2821209447663,110,116,148,"Shaw, P.A. Bldg","429 Norfolk Street","Dorchester",2124,4670,4670,"P.A. Shaw (K1-3)","P.A. Shaw (K1-3)","ES"," "," ",767969.999991,2928099.99999,"Pauline Agassiz Shaw Elementary School","0035","Boston","00350014","Suffolk",198,33,38,43,40,44,0,0,0,0,0,0,0,0,0,0
"103",-71.135330610979,42.2777686556127,90,96,126,"Bates Bldg","426 Beech Street","Roslindale",2131,4081,4081,"Bates Elementary","Bates","ES"," "," ",754855.145099,2926454.13215,"Phineas Bates","0035","Boston","00350278","Suffolk",251,19,37,39,40,34,40,42,0,0,0,0,0,0,0,0
"104",-71.0690502465657,42.3484082933053,15,15,21,"Abraham Lincoln Building","152 Arlington Street","Boston",2116,1450,1450,"Quincy Upper School","Quincy Upper (6-12)","K-12"," "," ",772661.999995,2952280.00001,"Quincy Upper School","0035","Boston","00350565","Suffolk",549,0,0,0,0,0,0,0,143,93,58,62,62,59,59,13
"105",-71.0981202064396,42.3139378832768,75,81,107,"Hernandez Bldg","61 School Street","Roxbury",2119,4053,4053,"Hernandez K-8","Hernandez K-8","K-8"," "," ",764862.999988,2939680,"Rafael Hernandez","0035","Boston","00350691","Suffolk",399,49,49,49,48,44,44,40,38,16,22,0,0,0,0,0
"106",-71.0491940584115,42.2942061770356,50,54,70,"Murphy Bldg","1 Worrell Street","Dorchester",2122,4400,4400,"Murphy K-8","Murphy K-8","K-8"," "," ",778133.906432,2932555.6167,"Richard J Murphy","0035","Boston","00350240","Suffolk",910,39,65,67,88,88,125,132,146,69,91,0,0,0,0,0
"107",-71.0581913442036,42.3231761948746,23,23,33,"Clap Bldg","35 Harvest Street","Dorchester",2125,4531,4531,"Clap Elementary","Clap","ES"," "," ",775644.999998,2943100,"Roger Clap","0035","Boston","00350298","Suffolk",137,15,18,16,20,29,27,12,0,0,0,0,0,0,0,0
"108",-71.0348903110476,42.3655630050993,9,9,12,"Adams Bldg","165 Webster Street","East Boston",2128,4361,4361,"Adams Elementary","Adams","ES"," "," ",781862.000004,2958580.00002,"Samuel Adams","0035","Boston","00350302","Suffolk",258,44,30,41,37,45,43,18,0,0,0,0,0,0,0,0
"109",-71.071331405281,42.326217031375,22,22,31,"Mason Bldg","150 Norfolk Avenue","Roxbury",2119,4121,4121,"Mason Elementary","Mason","ES"," "," ",772085.999995,2944190,"Samuel W Mason","0035","Boston","00350304","Suffolk",241,27,36,38,37,37,37,29,0,0,0,0,0,0,0,0
"110",-71.0806620168016,42.2965601131686,111,117,149,"Greenwood, S Bldg","189 Glenway Street","Dorchester",2121,4130,4130,"Greenwood Sarah K-8","S. Greenwood K-8","K-8"," "," ",769615.999992,2933369.99999,"Sarah Greenwood","0035","Boston","00350308","Suffolk",389,42,44,47,46,48,34,49,31,23,25,0,0,0,0,0
"111",-71.0779705963906,42.3505786709993,17,17,24,"Snowden Hs Bldg","150 Newbury Street","Boston",2116,1200,1200,"Snowden International","Snowden HS","HS"," "," ",770246.740985,2953058.86974,"Snowden International School at Copley","0035","Boston","00350690","Suffolk",489,0,0,0,0,0,0,0,0,0,0,160,123,108,98,0
"112",-71.076791454941,42.2877921545001,57,61,78,"Dorchester Ed. Bldg #1 - Main","9 Peacevale Road","Dorchester",2124,1460,1460,"TechBoston Academy","TechBoston","6/7-12"," "," ",770678.999993,2930179.99999,"TechBoston Academy","0035","Boston","00350657","Suffolk",917,0,0,0,0,0,0,0,113,115,136,127,143,148,134,1
"113",-71.1096006044375,42.3060086607993,76,82,108,"English Hs Bldg","144 Mcbride Street","Jamaica Plain",2130,1080,1080,"English High","English HS","HS"," "," ",761771.152625,2936776.03919,"The English High","0035","Boston","00350535","Suffolk",521,0,0,0,0,0,0,0,0,0,0,165,99,122,135,0
"114",-71.053191537335,42.2865502504078,51,55,71,"Kenny Bldg","19 Oakton Avenue","Dorchester",2122,4390,4390,"Kenny Elementary","Kenny","ES"," "," ",777066.999999,2929759.99999,"Thomas J Kenny","0035","Boston","00350328","Suffolk",296,27,39,37,36,47,56,54,0,0,0,0,0,0,0,0
"115",-71.0504296567631,42.3335737219707,31,34,34,"Gavin Bldg","215 Dorchester Street","South Boston",2127,2450,2450,"UP Academy Boston","UP Academy Boston","MS"," "," ",777724,2946900,"UP Academy Charter School of Boston","0480","UP Academy Charter School of Boston (District)","04800405","Suffolk",517,0,0,0,0,0,0,0,182,169,166,0,0,0,0,0
"116",-71.0707294317282,42.2999261471246,48,52,67,"Marshall Bldg","35 Westville Street","Dorchester",2124,4345,4345,"UP Academy Charter School of Dorchester","UP Academy of Dorchester","K-8"," "," ",772296.999995,2934609.99999,"UP Academy Charter School of Dorchester","3505","UP Academy Charter School of Dorchester (District)","35050405","Suffolk",724,56,61,73,70,74,73,91,91,77,58,0,0,0,0,0
"117",-71.0738590186564,42.3056181290849,46,49,62,"Holland Bldg","85 Olney Street","Dorchester",2121,4250,4250,"UP Academy Holland","UP Holland","ES"," "," ",771439.999994,2936679.99999,"UP Academy Holland","0035","Boston","00350167","Suffolk",771,51,117,110,118,127,122,126,0,0,0,0,0,0,0,0
"118",-71.1743406240052,42.2822686542059,95,101,131,"West Roxbury Ed. Bldg","1205 V.F.W. Parkway","West Roxbury",2132,1253,1253,"Urban Science Academy","Urban Science Academy","HS","Shared","West Roxbury EC",744291.893473,2928051.28111,"Urban Science Academy","0035","Boston","00350579","Suffolk",328,0,0,0,0,0,0,0,0,0,0,74,74,79,96,5
"119",-71.0644305927585,42.3779986765793,13,13,16,"Warren-Prescott Bldg","50 School Street","Charlestown",2129,4283,4283,"Warren/Prescott K-8","Warren/Prescott K-8","K-8"," "," ",773855.716508,2963069.66485,"Warren-Prescott","0035","Boston","00350346","Suffolk",580,58,69,72,65,61,70,62,61,35,27,0,0,0,0,0
"120",-71.1249306072805,42.283638656671,72,78,101,"Irving Bldg","105 Cummins Highway","Roslindale",2131,2140,2140,"Irving Middle","Irving MS","MS"," "," ",757660.211213,2928605.45112,"Washington Irving Middle","0035","Boston","00350445","Suffolk",299,0,0,0,0,0,0,0,111,91,97,0,0,0,0,0
"121",-71.1743406240052,42.2822686542059,30,32,131,"West Roxbury Ed. Bldg","1205 V.F.W. Parkway","West Roxbury",2132,1256,1256,"West Roxbury Academy","W. Roxbury Acad","HS","Shared"," ",744291.893473,2928051.28111,"West Roxbury Academy","0035","Boston","00350658","Suffolk",408,0,0,0,0,0,0,0,0,0,0,82,81,89,154,2
"122",-71.0595494085743,42.3203824113407,28,29,39,"Russell Bldg","750 Columbia Road","Dorchester",2125,4530,4530,"Russell Elementary","Russell","ES"," "," ",775282.999998,2942080,"William E Russell","0035","Boston","00350366","Suffolk",397,58,59,58,61,57,49,55,0,0,0,0,0,0,0,0
"123",-71.1333206089133,42.2516286509912,69,75,98,"Channing Bldg","35 Sunnyside Street","Hyde Park",2136,4201,4201,"Channing Elementary","Channing","ES"," "," ",755440.046859,2916930.68887,"William Ellery Channing","0035","Boston","00350360","Suffolk",208,30,33,38,39,26,26,16,0,0,0,0,0,0,0,0
"124",-71.1496106142466,42.2607586521371,108,114,145,"Ohrenberger Bldg","175 West Boundary Road","West Roxbury",2132,4410,4410,"Ohrenberger 3-8","Ohrenberger 3-8","K-8"," "," ",751016.119559,2920239.24526,"William H Ohrenberger","0035","Boston","00350258","Suffolk",635,0,0,0,0,96,138,111,137,78,75,0,0,0,0,0
"125",-71.0735205940176,42.34436866956,18,18,26,"Mckinley Mackey Bldg","90 Warren Avenue","Boston",2116,1291,1291,"McKinley Elementary","McKinley Elem","Special","Shared"," ",771460.937914,2950801.81198,"William McKinley","0035","Boston","00350363","Suffolk",327,0,0,6,8,10,17,19,21,20,29,56,51,35,26,29
"126",-71.1067606060272,42.3479486694459,86,92,120,"Mckinley St Mary'S St Bldg","50 St. Mary Street","Boston",2215,1292,1292,"McKinley Middle","McKinley MS","Special"," "," ",762468.913618,2952063.25406,"William McKinley","0035","Boston","00350363","Suffolk",327,0,0,6,8,10,17,19,21,20,29,56,51,35,26,29
"127",-71.0992606033254,42.3434386693501,85,91,119,"Mckinley Peterborough Bldg","97 Peterborough Street","Boston",2215,1293,1293,"McKinley Prep High Sch","McKinley Prep HS","Special"," "," ",764504.051412,2950429.15966,"William McKinley","0035","Boston","00350363","Suffolk",327,0,0,6,8,10,17,19,21,20,29,56,51,35,26,29
"128",-71.0735205940176,42.34436866956,19,19,26,"Mckinley Mackey Bldg","90 Warren Avenue","Boston",2116,1294,1294,"McKinley So. End Acad","McKinley S. End Acad","Special","Shared"," ",771460.937914,2950801.81198,"William McKinley","0035","Boston","00350363","Suffolk",327,0,0,6,8,10,17,19,21,20,29,56,51,35,26,29
"129",-71.0878410542977,42.3157400348818,40,43,54,"Trotter Bldg","135 Humboldt Avenue","Dorchester",2121,4580,4580,"Trotter K-8","Trotter K-8","K-8"," "," ",767639.999991,2940350,"William Monroe Trotter","0035","Boston","00350370","Suffolk",503,37,65,60,64,63,64,54,44,27,25,0,0,0,0,0
"130",-71.1553485997662,42.3476017034881,100,106,137,"Winship Bldg","54 Dighton Street","Brighton",2135,4173,4173,"Winship Elementary","Winship","ES"," "," ",749335.000006,2951880.00001,"Winship Elementary","0035","Boston","00350374","Suffolk",199,44,43,31,25,21,17,18,0,0,0,0,0,0,0,0
"131",-71.0950023342651,42.2823146600886,61,65,85,"Lewenberg Bldg","20 Outlook Road","Mattapan",2126,4600,4600,"Young Achievers K-8","Young Achievers K-8","K-8"," "," ",765760.999989,2928159.99999,"Young Achievers","0035","Boston","00350380","Suffolk",569,43,54,60,60,54,98,81,43,43,33,0,0,0,0,0
